STATISTIC,Statistic Label,TLIST(A1),Year,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,1,Homicide & related offences ,Number,24
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,2,Sexual offences ,Number,960
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,6621
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,4,Dangerous or negligent acts ,Number,1814
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,5,Kidnapping and related offences ,Number,50
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,6,"Robbery, extortion and hijacking offences ",Number,1789
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,7,Burglary and related offences ,Number,7613
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,8,Theft and related offences ,Number,35418
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,9,"Fraud, deception and related offences ",Number,2823
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,10,Controlled drug offences ,Number,6876
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,11,Weapons and explosives offences ,Number,1146
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,12,Damage to property and to the environment  offences ,Number,8473
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,13,Public order and other social code offences ,Number,10417
RCD06C01,Recorded crime incidents,2018,2018,10,Dublin Metropolitan Region,15,"Offences against government, justice procedures and organisation of crime ",Number,9307
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,1,Homicide & related offences ,Number,25
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,2,Sexual offences ,Number,675
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4328
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,4,Dangerous or negligent acts ,Number,2130
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,5,Kidnapping and related offences ,Number,30
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,6,"Robbery, extortion and hijacking offences ",Number,165
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,7,Burglary and related offences ,Number,2608
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,8,Theft and related offences ,Number,7386
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,9,"Fraud, deception and related offences ",Number,1070
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,10,Controlled drug offences ,Number,2209
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,11,Weapons and explosives offences ,Number,391
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,12,Damage to property and to the environment  offences ,Number,3776
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,13,Public order and other social code offences ,Number,6939
RCD06C01,Recorded crime incidents,2018,2018,20,North Western Region,15,"Offences against government, justice procedures and organisation of crime ",Number,1628
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,1,Homicide & related offences ,Number,17
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,2,Sexual offences ,Number,828
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4731
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,4,Dangerous or negligent acts ,Number,2319
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,5,Kidnapping and related offences ,Number,24
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,6,"Robbery, extortion and hijacking offences ",Number,253
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,7,Burglary and related offences ,Number,3995
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,8,Theft and related offences ,Number,12355
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,9,"Fraud, deception and related offences ",Number,1354
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,10,Controlled drug offences ,Number,5086
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,11,Weapons and explosives offences ,Number,442
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,12,Damage to property and to the environment  offences ,Number,4714
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,13,Public order and other social code offences ,Number,5970
RCD06C01,Recorded crime incidents,2018,2018,30,Eastern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,2581
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,1,Homicide & related offences ,Number,22
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,2,Sexual offences ,Number,750
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4511
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,4,Dangerous or negligent acts ,Number,2298
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,5,Kidnapping and related offences ,Number,31
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,6,"Robbery, extortion and hijacking offences ",Number,237
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,7,Burglary and related offences ,Number,2744
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,8,Theft and related offences ,Number,11791
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,9,"Fraud, deception and related offences ",Number,1063
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,10,Controlled drug offences ,Number,4104
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,11,Weapons and explosives offences ,Number,462
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,12,Damage to property and to the environment  offences ,Number,4552
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,13,Public order and other social code offences ,Number,8640
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,3103
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,1,Homicide & related offences ,Number,88
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,2,Sexual offences ,Number,3213
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,20191
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,4,Dangerous or negligent acts ,Number,8561
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,5,Kidnapping and related offences ,Number,135
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,6,"Robbery, extortion and hijacking offences ",Number,2444
